GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
foo2020,expression_celltype_B-cell_COV,ENSG00000145335,358,8.014894080065657e-11,0.8814358936259133,5.045351656380047e-12,0.05542298260387739,0.06314112368501658,0.11856410628889397,1.1392588546939593,1e-5,SNCA,expression,celltype,B-cell,COV,Not_signif
foo2020,expression_celltype_B-cell_COV,ENSG00000188906,928,7.9088628234058e-9,0.4508438613655841,8.949848357521533e-9,0.5101461180275734,0.039010003748132814,0.5491561217757062,0.07646829480730132,1e-5,LRRK2,expression,celltype,B-cell,COV,Not_signif
foo2020,expression_celltype_B-cell_IAV,ENSG00000145335,358,7.128780172058292e-11,0.78398574686709,1.3677332330814424e-11,0.15035044306552206,0.06566380998242322,0.21601425304794528,0.4367383869551167,1e-5,SNCA,expression,celltype,B-cell,IAV,Not_signif
foo2020,expression_celltype_B-cell_IAV,ENSG00000188906,928,9.549702623698265e-9,0.5443797549528274,7.125495893702796e-9,0.40613863350993284,0.04948159486204161,0.45562022837197447,0.12183424766664422,1e-5,LRRK2,expression,celltype,B-cell,IAV,Not_signif
foo2020,expression_celltype_B-cell_NS,ENSG00000145335,358,1.2412451567788623e-11,0.136505613554565,7.69515931191608e-11,0.8462559071088377,0.017238479247233072,0.8634943863560708,0.02037029118783571,1e-5,SNCA,expression,celltype,B-cell,NS,Distinct
foo2020,expression_celltype_B-cell_NS,ENSG00000188906,928,1.4240658996815251e-8,0.8117872106106335,1.7369091274507408e-9,0.09892302534020553,0.08928974807159393,0.18821277341179946,0.9026184527264319,1e-5,LRRK2,expression,celltype,B-cell,NS,Not_signif
foo2020,expression_celltype_Monocyte_COV,ENSG00000145335,358,8.129738898098957e-11,0.8940659226444201,4.0565914803636364e-12,0.04455087618563304,0.061383201084593414,0.10593407727022645,1.3778225332499416,1e-5,SNCA,expression,celltype,Monocyte,COV,Not_signif
foo2020,expression_celltype_Monocyte_COV,ENSG00000188906,928,8.761989410525234e-9,0.4994762492775717,6.099161349589165e-9,0.34752903181976424,0.1529947040415131,0.5005237358612773,0.4402357502059262,1e-5,LRRK2,expression,celltype,Monocyte,COV,Not_signif
foo2020,expression_celltype_Monocyte_IAV,ENSG00000145335,358,7.786572080013755e-11,0.8563262410042088,2.724864593506451e-12,0.029852806603760943,0.1138209523114398,0.14367375891520073,3.812738742530838,1e-5,SNCA,expression,celltype,Monocyte,IAV,Not_signif
foo2020,expression_celltype_Monocyte_IAV,ENSG00000188906,928,1.013385259408343e-8,0.5776791602081114,5.227222784660423e-9,0.2978527958430377,0.12446802858777514,0.42232082443081287,0.4178843721627083,1e-5,LRRK2,expression,celltype,Monocyte,IAV,Not_signif
foo2020,expression_celltype_Monocyte_NS,ENSG00000145335,358,7.598154239015124e-11,0.8356050379045001,6.509489827914198e-12,0.07149504530376384,0.09289991670924501,0.16439496201300885,1.299389577481033,1e-5,SNCA,expression,celltype,Monocyte,NS,Not_signif
