GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
PD2019_ex23andMe,expression_celltype_B-cell_COV,ENSG00000129003,964,0.07787431354118299,0.027770294162290432,0.6534640959344443,0.23302005984113697,0.00787123652094548,0.24089129636208245,0.033779222811597204,1e-5,VPS13C,expression,celltype,B-cell,COV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_COV,ENSG00000145335,924,3.1140729263210115e-35,0.756051485718786,8.098115370507927e-36,0.19656304409441536,0.047385470186805556,0.2439485142812209,0.2410700872339199,1e-5,SNCA,expression,celltype,B-cell,COV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_COV,ENSG00000177628,196,0.17337240107517116,0.7469617962361316,0.003749901891731566,0.01609634737618523,0.059819553420780644,0.07591590079696588,3.7163433431664448,1e-5,GBA,expression,celltype,B-cell,COV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_COV,ENSG00000188906,1168,0.0018596487570613784,0.4371859282748669,0.0021470341039385456,0.5046934057858868,0.05411398307824648,0.5588073888641333,0.10722149815685132,1e-5,LRRK2,expression,celltype,B-cell,COV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_IAV,ENSG00000129003,964,5.569458238371262e-4,1.98609126130362e-4,0.7318738082656113,0.26098276273288645,0.006387874051534717,0.2673706367844212,0.024476229712046726,1e-5,VPS13C,expression,celltype,B-cell,IAV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_IAV,ENSG00000145335,924,2.2661905517198723e-35,0.5501980120850468,1.6428377914256358e-35,0.3988060579636875,0.05099592995126763,0.4498019879149551,0.1278715027842204,1e-5,SNCA,expression,celltype,B-cell,IAV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_IAV,ENSG00000177628,196,0.17446017633687802,0.751648393170516,0.002481532154218133,0.010630713254527687,0.06077918508386006,0.07140989833838775,5.717319584175015,1e-5,GBA,expression,celltype,B-cell,IAV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_IAV,ENSG00000188906,1168,0.002106918728825668,0.4953167724623982,0.0016218880608738653,0.3811708417386091,0.11978357900929296,0.5009544207479021,0.3142516842655963,1e-5,LRRK2,expression,celltype,B-cell,IAV,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_NS,ENSG00000129003,964,0.019325193123688293,0.006891441778219798,0.7124651253299581,0.2540606784638753,0.007257561304258365,0.2613182397681337,0.02856625176371129,1e-5,VPS13C,expression,celltype,B-cell,NS,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_NS,ENSG00000145335,924,2.6107438220367673e-36,0.0633850520583013,3.8239966055161916e-35,0.9284023877656612,0.008212560176042534,0.9366149479417037,0.008845905917807132,1e-5,SNCA,expression,celltype,B-cell,NS,Distinct
PD2019_ex23andMe,expression_celltype_B-cell_NS,ENSG00000177628,196,0.1711077542229364,0.7372047376149481,0.0028212835997268246,0.012078497960592217,0.07678772660179649,0.08886622456238871,6.357390368597747,1e-5,GBA,expression,celltype,B-cell,NS,Not_signif
PD2019_ex23andMe,expression_celltype_B-cell_NS,ENSG00000188906,1168,0.0033717831030774578,0.7926744877295001,4.8653970057800194e-4,0.11429173106067839,0.08917545840616617,0.20346718946684456,0.7802441837093378,1e-5,LRRK2,expression,celltype,B-cell,NS,Not_signif
PD2019_ex23andMe,expression_celltype_Monocyte_COV,ENSG00000129003,964,0.6570595956081612,0.23431010075671027,0.06412825039546079,0.022846737310776893,0.02165531592889086,0.04450205323966776,0.947851574354819,1e-5,VPS13C,expression,celltype,Monocyte,COV,Not_signif
