GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
shigemizu2021,expression_celltype_B-cell_COV,ENSG00000130203,118,3.6630601106066344e-124,0.9016819729176846,2.9276949942536008e-126,0.007115476342888456,0.09120255073945317,0.09831802708234164,12.817490543778607,1e-5,APOE,expression,celltype,B-cell,COV,Not_signif
shigemizu2021,expression_celltype_B-cell_COV,ENSG00000137642,308,2.3729380053654715e-5,0.8388644852490339,8.543707307719705e-7,0.030072079040725844,0.13103885195945617,0.161110931000182,4.357492269889076,1e-5,SORL1,expression,celltype,B-cell,COV,Not_signif
shigemizu2021,expression_celltype_B-cell_IAV,ENSG00000130203,118,3.7142594755640637e-124,0.9142849723260951,4.439217740239265e-126,0.010852511016307539,0.07486251665760349,0.08571502767391102,6.898174675437899,1e-5,APOE,expression,celltype,B-cell,IAV,Not_signif
shigemizu2021,expression_celltype_B-cell_IAV,ENSG00000137642,308,2.367905626407489e-5,0.8370854737558466,1.0535649833342558e-6,0.037119123440946714,0.125770670181959,0.16288979362290573,3.3882984974591106,1e-5,SORL1,expression,celltype,B-cell,IAV,Not_signif
shigemizu2021,expression_celltype_B-cell_NS,ENSG00000130203,118,3.318260557091948e-124,0.8168077059696679,1.2031871505342492e-125,0.02946337073995351,0.15372892329038826,0.18319229403034176,5.217628513967877,1e-5,APOE,expression,celltype,B-cell,NS,Not_signif
shigemizu2021,expression_celltype_B-cell_NS,ENSG00000137642,308,1.909724509394778e-5,0.6751124824663002,6.217054007050154e-7,0.02167490260249957,0.30319289598070637,0.3248677985832059,13.988201079424545,1e-5,SORL1,expression,celltype,B-cell,NS,Not_signif
shigemizu2021,expression_celltype_Monocyte_COV,ENSG00000130203,118,8.092976994014175e-127,0.0019921298702170738,4.0537975653161735e-124,0.9978639577219722,1.43912407811379e-4,0.9980078701297836,1.442204688301572e-4,1e-5,APOE,expression,celltype,Monocyte,COV,Distinct
shigemizu2021,expression_celltype_Monocyte_COV,ENSG00000137642,308,2.4652768938904307e-5,0.8715074847778091,7.883521825318748e-7,0.02776857774681924,0.10069849635424952,0.12846707410106875,3.6263469188941104,1e-5,SORL1,expression,celltype,Monocyte,COV,Not_signif
shigemizu2021,expression_celltype_Monocyte_IAV,ENSG00000130203,118,8.998446427813255e-125,0.22150160475747807,3.1032658836365314e-124,0.7638709818736491,0.014627413368844728,0.7784983952424939,0.019149062755291612,1e-5,APOE,expression,celltype,Monocyte,IAV,Distinct
shigemizu2021,expression_celltype_Monocyte_IAV,ENSG00000137642,308,2.5238280805456895e-5,0.8922060917128516,8.186825958142571e-7,0.02886259058817499,0.07890526073557234,0.10776785132374733,2.733824619606386,1e-5,SORL1,expression,celltype,Monocyte,IAV,Not_signif
shigemizu2021,expression_celltype_Monocyte_NS,ENSG00000130203,118,4.553413815913083e-125,0.11208473323041393,3.576201330687739e-124,0.8802935948077792,0.007621671961778437,0.8879152667695577,0.00865810225898861,1e-5,APOE,expression,celltype,Monocyte,NS,Distinct
shigemizu2021,expression_celltype_Monocyte_NS,ENSG00000137642,308,2.53716068585621e-5,0.8969193413070465,6.39744646320977e-7,0.022535286961294816,0.08051936038015338,0.1030546473414482,3.5730346153766908,1e-5,SORL1,expression,celltype,Monocyte,NS,Not_signif
shigemizu2021,expression_celltype_NK_COV,ENSG00000130203,118,3.771954242764298e-124,0.928486849976287,4.418191835483654e-126,0.01081491890498114,0.06069823111871408,0.07151315002369522,5.612453653328613,1e-5,APOE,expression,celltype,NK,COV,Not_signif
shigemizu2021,expression_celltype_NK_COV,ENSG00000137642,308,2.5486223217294708e-5,0.9009711788414425,8.146007811599056e-7,0.02872692278800164,0.07027559754655732,0.09900252033455896,2.4463322460667207,1e-5,SORL1,expression,celltype,NK,COV,Not_signif
shigemizu2021,expression_celltype_NK_IAV,ENSG00000130203,118,3.7559696514654924e-124,0.9245521567462043,4.998213214500928e-126,0.01224016331652805,0.06320767993728493,0.07544784325381299,5.163957236741669,1e-5,APOE,expression,celltype,NK,IAV,Not_signif
